State: [[ 178.          124.         3631.68110755]], Action: 4, Reward: 98.92, Score: -775.1280000000003, Episode: 1, Step: 37
State: [[ 168.5         123.5        3525.65235549]], Action: 4, Reward: 98.92, Score: -676.2080000000003, Episode: 1, Step: 38
State: [[ 176.5         123.5        3739.28065594]], Action: 2, Reward: -146.84, Score: -823.0480000000003, Episode: 1, Step: 39
State: [[ 190.5         123.5        3739.28065594]], Action: 1, Reward: -64.92, Score: -887.9680000000003, Episode: 1, Step: 40
State: [[ 192.          124.         3848.45100065]], Action: 6, Reward: -65.0, Score: -952.9680000000003, Episode: 1, Step: 41
State: [[ 176.5         123.5        3739.28065594]], Action: 0, Reward: -59.0, Score: -1011.9680000000003, Episode: 1, Step: 42
State: [[ 166.5         123.5        3525.65235549]], Action: 2, Reward: -146.84, Score: -1158.8080000000002, Episode: 1, Step: 43
State: [[ 154.5         123.5        3525.65235549]], Action: 0, Reward: -59.0, Score: -1217.8080000000002, Episode: 1, Step: 44
State: [[ 142.5         123.5        3525.65235549]], Action: 0, Reward: -59.0, Score: -1276.8080000000002, Episode: 1, Step: 45
State: [[ 119.5         123.5        3525.65235549]], Action: 3, Reward: -82.45599999999999, Score: -1359.2640000000001, Episode: 1, Step: 46
State: [[  75.5         123.5        3739.28065594]], Action: 1, Reward: -64.92, Score: -1424.1840000000002, Episode: 1, Step: 47
State: [[  53.          124.         3848.45100065]], Action: 2, Reward: -146.84, Score: -1571.0240000000001, Episode: 1, Step: 48
State: [[  43.          124.         3848.45100065]], Action: 0, Reward: -59.0, Score: -1630.0240000000001, Episode: 1, Step: 49
State: [[  34.5         123.5        3739.28065594]], Action: 6, Reward: -65.0, Score: -1695.0240000000001, Episode: 1, Step: 50
State: [[  35.          123.         3848.45100065]], Action: 4, Reward: 98.92, Score: -1596.104, Episode: 1, Step: 51
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1497.184, Episode: 1, Step: 52
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1398.264, Episode: 1, Step: 53
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1299.3439999999998, Episode: 1, Step: 54
State: [[  9.5        123.5        283.52873699]], Action: 0, Reward: -59.0, Score: -1358.3439999999998, Episode: 1, Step: 55
State: [[  34.5         123.5        3739.28065594]], Action: 2, Reward: -146.84, Score: -1505.1839999999997, Episode: 1, Step: 56
State: [[  32.5         123.5        3318.30724035]], Action: 4, Reward: 98.92, Score: -1406.2639999999997, Episode: 1, Step: 57
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -1471.1839999999997, Episode: 1, Step: 58
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1372.2639999999997, Episode: 1, Step: 59
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1273.3439999999996, Episode: 1, Step: 60
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: -1338.3439999999996, Episode: 1, Step: 61
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1239.4239999999995, Episode: 1, Step: 62
State: [[ 15.5        123.5        754.76763502]], Action: 2, Reward: -146.84, Score: -1386.2639999999994, Episode: 1, Step: 63
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -1468.7199999999993, Episode: 1, Step: 64
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1369.7999999999993, Episode: 1, Step: 65
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -1300.7999999999993, Episode: 1, Step: 66
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1201.8799999999992, Episode: 1, Step: 67
State: [[  34.5         123.5        3739.28065594]], Action: 4, Reward: 98.92, Score: -1102.9599999999991, Episode: 1, Step: 68
State: [[  60.5         123.5        3959.19214169]], Action: 4, Reward: 98.92, Score: -1004.0399999999992, Episode: 1, Step: 69
State: [[  94.5         122.5        4185.38681275]], Action: 3, Reward: -82.45599999999999, Score: -1086.4959999999992, Episode: 1, Step: 70
State: [[ 105.          123.         4300.84034276]], Action: 4, Reward: 98.92, Score: -987.5759999999992, Episode: 1, Step: 71
State: [[  86.5         122.5        4656.62571078]], Action: 4, Reward: 98.92, Score: -888.6559999999993, Episode: 1, Step: 72
